id;imie;nazwisko;nazwa_firmy;email;telefon;miasto;wiek
a74ab870-5170-4f22-8212-ac9e1512794c;Stanisław;Cieciura;Fleszar-Nalewajek Sp. z o.o. Sp.k.;marcelinaprokurat@example.com;699 127 940;Krotoszyn;46
912462ff-8f7a-4848-9294-097e38764e04;Marcelina;Rudzik;PPUH Kalista-Kiryluk Sp. z o.o.;monika54@example.org;511 012 472;Konin;23
dc07b767-28b1-4209-8517-a181a8fcf1ad;Maks;Sysło;Kolber Sp.j.;arkadiuszjancewicz@example.org;+48 729 752 516;Puławy;66
dc78d7b1-bb38-4238-9845-74be1440a8ef;Olaf;Słupik;Goska-Czupryn Sp. z o.o. Sp.k.;pichetalukasz@example.com;+48 532 026 962;Dąbrowa Górnicza;52
7c8945db-ea1d-462e-b555-16a5a12314d5;Piotr;Wardziak;Kosela s.c.;smoragleon@example.org;796 959 624;Płock;23
61f3dbcf-04de-452f-914b-7b8c67c0a064;Olga;Ochwat;Spółdzielnia Bachanek;ckosciuszko@example.com;793 446 336;Puławy;30
55ae5bcb-4943-4763-9b30-58bc94388f35;Sara;Kościesza;Jonik S.A.;nicole64@example.net;+48 723 027 187;Wejherowo;22
44178865-5fab-4328-943e-1f73c5e9a813;Alex;Rychel;Herbut Sp. z o.o. Sp.k.;ernest15@example.org;+48 577 604 288;Rumia;46
cc35644e-e6cd-4d77-9501-52d15734ef5c;Melania;Koss;FPUH Kolman-Zybura S.A.;maks16@example.net;887 711 142;Szczytno;41
40a09642-d6d8-45d9-b117-49f819c088fc;Liwia;Naumiuk;Winnik-Kłoczko s.c.;yzdziech@example.org;+48 570 769 357;Polkowice;19
2dd39b3f-450b-47d7-a57f-92390ed7f539;Tobiasz;Kycia;Grupa Kopała;alex91@example.net;781 015 711;Świnoujście;47
da720f49-180d-4f30-8d7c-7c2e5f14dbeb;Tymoteusz;Kałwak;Fundacja Łuczka-Tylus Sp. z o.o.;rozynekolga@example.net;608 785 183;Jawor;24
e38ed134-f1c4-412f-a401-ca34546918a4;Cezary;Jośko;Gabinety Magier;zpacholczak@example.com;+48 503 372 242;Chorzów;62
5110135c-b855-4d46-8dee-e5e81252f30c;Julian;Słoń;Marko-Groń s.c.;apoloniasabala@example.com;601 500 082;Żyrardów;56
32eb8aaf-e53c-4d8f-9288-7e51a033a508;Bianka;Matyjaszek;Hendzel-Moneta Sp.j.;kubiaczykelzbieta@example.net;+48 886 341 986;Piaseczno;40
81fdd729-7300-44e1-b4f6-4e0f2127f182;Fryderyk;Woronko;Gabinety Bartman;kajarubacha@example.net;+48 32 082 80 69;Gliwice;35
be955439-7fc9-4d6e-8392-ab731fb95769;Eryk;Kustosz;Gogol Sp. z o.o. Sp.k.;xlada@example.com;517 429 431;Polkowice;69
c0c72c8a-b91a-4493-8fbb-640afa52e302;Alex;Nieścioruk;Nazarko S.A.;jstochaj@example.com;511 234 340;Olkusz;49
705dd749-5260-4597-9aa2-51aeee1f354f;Błażej;Freitag;Fundacja Cis;trybusroza@example.com;732 967 791;Świebodzice;57
8c000c5b-d6fe-4e84-bb67-5aa01bc4b319;Oliwier;Roskosz;Zdobylak Sp. z o.o.;damian53@example.org;+48 532 534 291;Stargard Szczeciński;53
a1669d94-e297-4c25-a505-8756aa72c296;Bartek;Ziegler;FPUH Karwan i syn s.c.;albertmikiciuk@example.net;690 883 141;Zabrze;49
642fb46d-f74b-482c-95a5-8242586fc684;Piotr;Heinrich;Zimoń Sp.j.;osialcezary@example.com;32 906 83 15;Piastów;52
16c66854-a95e-4194-b767-2704603f3af5;Dorota;Feliniak;Gabinety Romaniak-Gryga S.A.;hubertdulemba@example.org;+48 889 373 297;Świecie;54
66770e6b-58a9-4a12-9227-ffbc522ea568;Justyna;Puch;FPUH Martyn i syn s.c.;stanislaw64@example.org;+48 733 919 907;Środa Wielkopolska;29
6fdba091-b7f1-4e00-8a86-a65874ee53db;Tola;Jonczyk;Stowarzyszenie Supeł-Piekacz s.c.;aleksbielen@example.org;518 909 674;Opole;24
20548182-1a25-41fc-9222-38f2876ffc38;Przemysław;Han;Spółdzielnia Brachaczek Sp. z o.o. Sp.k.;pietrygatola@example.org;+48 509 722 383;Szczecin;48
a3d6a0a1-dfaa-4f19-aff1-55b01d3e128b;Gabriel;Bobik;Pazera Sp. z o.o.;marikaledzion@example.net;+48 880 480 804;Dębica;62
aec6ca12-5a2c-4a9e-bfa2-47949fb849e6;Olga;Hutyra;Błaziak i syn s.c.;krzysztofbrzakala@example.org;+48 699 281 622;Pruszcz Gdański;43
1612c34a-0acf-418c-9331-18a2d509a28f;Sonia;Kozon;FPUH Kudłacik Sp. z o.o. Sp.k.;ostapiukoskar@example.org;+48 669 857 155;Starogard Gdański;42
dea2ddd8-f29d-4bb0-8745-ea5b91c47ae4;Hubert;Zbroszczyk;Stowarzyszenie Teper;gajowiakmarek@example.org;691 844 846;Dębica;59
f5d522fa-4164-48b5-83bb-e802e172fd14;Monika;Ferdyn;Konrad-Laszuk Sp.j.;norbertgrochola@example.org;+48 501 525 753;Pruszków;43
0d563173-b86e-45b9-a1f0-1b365f2ef8b5;Sebastian;Posłuszny;Wiaderek i syn s.c.;jankaoskar@example.net;791 253 659;Jaworzno;58
261daff5-4ed8-418e-a49e-c94ca14beeb5;Ksawery;Słonka;Gabinety Zięcik;andrzej40@example.com;693 571 063;Kołobrzeg;30
b7a24b26-97d0-434b-8bc5-8966922d00ea;Wojciech;Szkup;FPUH Jaśkowiec-Znojek Sp.k.;dominczakantoni@example.net;509 019 813;Radom;23
4e0d4578-6590-4eab-ae0d-5a5d0293879f;Mateusz;Hynek;Spółdzielnia Szmurło Sp. z o.o.;adam13@example.org;+48 513 827 052;Zduńska Wola;45
8c6ee727-a5da-4d59-b055-ea4fc62e41cc;Dagmara;Walencik;Wężyk Sp.k.;ruszeljozef@example.org;+48 574 780 020;Tychy;41
801e8dc3-6bb9-4aaf-a16f-cc9ab2cbd479;Cezary;Kamela;Mierzwiak Sp. z o.o. Sp.k.;patokajerzy@example.net;+48 666 447 536;Piaseczno;37
28d1e8e0-d6d6-4cde-a6e9-d2e338c8bc26;Angelika;Teterycz;Fundacja Kolonko-Hak Sp. z o.o. Sp.k.;tzybura@example.com;+48 538 815 938;Żory;47
66796e5b-adcd-4051-8eaa-7af23be4d425;Albert;Wawszczyk;Grupa Radko;aleksandernowotnik@example.net;+48 32 874 01 08;Brzeg;70
01df1c55-b100-4622-9124-fb596efd02ae;Aurelia;Miara;PPUH Mitera-Szymula s.c.;zdziwak@example.net;662 026 812;Suwałki;30
82ce85bd-7d96-456b-87ba-8eb74991b8b0;Mieszko;Szpila;PPUH Kowalak-Komisarczyk i syn s.c.;sarapawlos@example.org;+48 604 668 681;Poznań;48
3b61ad25-8b56-4876-9ce7-31efec823e42;Tymon;Drewnik;Forysiak-Kunda Sp.k.;machniakmaurycy@example.net;22 546 28 77;Lubin;23
0991fba8-68b2-43da-af86-e59420c7e29a;Jędrzej;Kazana;Wnuczek Sp.j.;gustawlatacz@example.com;+48 602 231 911;Opole;61
08bcf31a-3579-42fa-b2e6-1012e1b5dcc7;Eryk;Maruszczak;Madejczyk Sp. z o.o. Sp.k.;kalinasieradzan@example.net;22 303 94 70;Ostróda;32
c9b47a57-3d1d-4eab-9346-96570b52f8f7;Emil;Szymula;FPUH Koziarz Sp.k.;alex19@example.com;692 236 124;Będzin;22
6aeaa16a-3802-48b9-8b54-0bf83663688d;Franciszek;Franaszek;Sobolak i syn s.c.;nszmurlo@example.org;733 324 578;Łomża;58
aa23db85-a8cb-428b-ba89-9495434a4418;Marcel;Szałata;Lalak Sp. z o.o. Sp.k.;oliwier87@example.org;795 073 575;Wejherowo;34
f0f4d5f3-b915-4c39-b030-54e523130281;Dawid;Husak;FPUH Dzienniak;bialczykgabriel@example.com;736 006 956;Tomaszów Mazowiecki;46
6675aba1-8909-40fc-9529-e6308af02a3c;Ewelina;Hanus;Ceran Sp. z o.o.;kwegrzynowicz@example.org;607 215 009;Pabianice;53
1acf91e6-790d-4fe6-9293-a0ed9967643b;Maurycy;Nytko;Walo-Dub S.A.;obialatadeusz@example.com;32 442 58 75;Krotoszyn;40
53d06bc3-68c3-4069-bffd-5c5428a39b2f;Ada;Hanusiak;Stowarzyszenie Toczko Sp.k.;krystyna41@example.org;518 701 337;Koszalin;52
454745ff-3923-4550-a88a-39fceb8b4f8d;Leonard;Radzewicz;Spółdzielnia Ulrych;janbrachman@example.org;607 173 434;Sieradz;41
d3765b17-ead5-4368-a08c-66b92829e3fc;Blanka;Ogrodowicz;Fundacja Szyba s.c.;jachimczykmaurycy@example.org;697 443 654;Mińsk Mazowiecki;24
3df2171b-a8d5-47b5-bd88-c12f00790d50;Lidia;Mroczko;Pietraszkiewicz Sp. z o.o.;gkunda@example.com;+48 22 123 11 00;Tychy;63
df542f2a-8e31-4ddf-a7b1-db043b70072a;Tadeusz;Wawrzyk;Stowarzyszenie Pyszczek Sp. z o.o.;natanielsmal@example.net;+48 786 236 417;Sopot;41
c2dc0db1-142c-497e-a16b-efd8a3618981;Jacek;Knieć;Teter-Guściora s.c.;juliuszwydmuch@example.net;+48 578 151 847;Bielawa;45
be466736-c111-4e14-aed0-e1f7e3242426;Tymoteusz;Serzysko;Dulewicz-Karpiel Sp. z o.o. Sp.k.;juliusz67@example.org;+48 661 836 941;Jarosław;40
cf50f1f1-08c5-4a60-b518-e51c983a6688;Anna Maria;Kunc;Spółdzielnia Flaga-Żelasko Sp.j.;lukaszteper@example.com;535 019 582;Dąbrowa Górnicza;22
a533d430-3dcc-4aba-9862-b8390cff7595;Paweł;Janke;Stowarzyszenie Kloska Sp. z o.o. Sp.k.;onawrotek@example.net;531 815 786;Mysłowice;35
4560a891-73bc-4473-bb86-8110a21eee95;Radosław;Hołubowicz;Stowarzyszenie Szeja;dstypka@example.org;+48 662 417 191;Lubliniec;34
53ea4e35-bdb2-4b53-a1ac-fb8538c0503b;Dawid;Kalista;Chudoba-Lament Sp. z o.o. Sp.k.;agnieszka07@example.com;+48 798 784 062;Police;37
5f6dcf5e-9537-4047-a2a4-d7e5e3c2527f;Łukasz;Kultys;Fundacja Ciesiółka-Rode Sp. z o.o. Sp.k.;ciolczykcyprian@example.net;+48 576 969 426;Bochnia;53
6b71f1e5-ea88-4a0d-91ac-c07cfd72eb0a;Justyna;Kurzydło;FPUH Kuźnia S.A.;kalaruspatryk@example.com;+48 22 813 64 91;Starachowice;38
87c3effb-94e1-4f5c-a20c-76c1c941d860;Róża;Bachanek;Stoltmann S.A.;rozalia33@example.org;+48 518 861 893;Dębica;60
99f663a6-1cc0-4261-b6b7-9a9fafa466e8;Miłosz;Łaszcz;Spółdzielnia Szott Sp.k.;mziajka@example.com;731 274 341;Inowrocław;58
c288a647-81c5-4a62-9a7a-0a5ebd329492;Damian;Dumała;Lemiesz Sp. z o.o. Sp.k.;mmajos@example.org;728 829 359;Tczew;33
6f658af7-2af6-4a59-8a5e-9f9c0f8412a2;Krystyna;Stefanik;Lisik S.A.;apoloniapieczarka@example.com;574 158 947;Sochaczew;51
cedda0d6-8eeb-4e4e-8ceb-8fb674813649;Piotr;Midura;Zbylut-Tomzik Sp. z o.o. Sp.k.;alan22@example.org;572 960 937;Września;59
010cb2c3-e365-4524-b8d5-731e75eed987;Sebastian;Zaucha;Gabinety Nowotka Sp. z o.o. Sp.k.;morekangelika@example.com;+48 736 186 265;Skierniewice;56
5a54cceb-0aa3-4f64-b9d2-445927e1fba9;Rozalia;Stoltmann;Spółdzielnia Januszewicz;rozamiekina@example.com;+48 661 218 573;Płońsk;55
6a15bf2f-9f20-4a4a-9d2a-5a4b606b001a;Grzegorz;Jeka;Stowarzyszenie Guźniczak-Tadeusiak S.A.;rozalia40@example.net;+48 571 594 852;Inowrocław;37
6640386e-577d-482d-a1bf-a5384f856245;Cyprian;Graban;Grupa Tałaj;rozaniksa@example.net;+48 535 446 902;Ruda Śląska;52
90437b87-38b8-4698-ab9e-bb2fd16248f3;Michał;Kopyto;Fundacja Sornat;ada02@example.org;799 594 739;Czerwionka-Leszczyny;27
512b1b38-2c9b-4aa3-a8cd-5a2b65566b7a;Tymoteusz;Pagacz;Gabinety Gruszczyk S.A.;emortka@example.com;32 220 62 91;Pabianice;38
f3d21c00-3e79-45ff-a7e0-25b4918bcf9f;Franciszek;Żach;Fundacja Misiarz Sp. z o.o. Sp.k.;fkrysik@example.org;+48 500 108 154;Elbląg;21
7c040b15-06a8-4607-8421-8ffc9e521982;Hubert;Łacina;Garbacik-Piotrkowicz i syn s.c.;skutnikjeremi@example.com;694 940 572;Otwock;66
95ca8e25-64f3-48fa-8ab5-65ad9cdcee1f;Emil;Dunal;Spółdzielnia Cegła Sp.j.;jakub51@example.com;+48 500 852 458;Jawor;34
a552a8d7-5b82-4255-b573-284b4d33db0d;Kornelia;Dzidek;Bilik i syn s.c.;ipernak@example.com;+48 32 288 78 38;Ostrów Mazowiecka;56
ace0efc0-9264-4fe4-b902-7a81a1e46021;Aleks;Pytko;Fundacja Rajczyk Sp.k.;wdawidek@example.net;+48 781 266 185;Dzierżoniów;31
3ca253d8-3ccb-402e-9a44-bf2b0c9a4c27;Hubert;Boruń;Fundacja Wdowczyk;qjakimiak@example.com;+48 727 784 806;Przemyśl;66
f85eb4a0-f01b-40a0-b070-12913fd6a235;Kalina;Podeszwa;Fundacja Groń;natanzugaj@example.com;732 234 579;Płońsk;56
090df334-f7d3-48ae-9e09-0d8da8753859;Olgierd;Hajda;Heba i syn s.c.;anielabrodka@example.org;+48 693 361 150;Ząbki;52
5f0d4f42-78bd-4815-8d05-3737d689a156;Jerzy;Burczak;Spółdzielnia Wojsław-Pieczarka Sp.j.;nabialekigor@example.net;+48 724 857 780;Ząbki;24
a1000c02-d52b-4f01-b329-794659bf6375;Sylwia;Bobryk;FPUH Pastuszek s.c.;liwiajaszczyszyn@example.com;690 033 394;Żywiec;35
92934ccc-4ba4-488d-8c17-9158a2bb1342;Grzegorz;Osik;Palej-Szambelan Sp.k.;czera@example.com;530 455 294;Jarosław;35
ce4eec85-a3cc-426e-a4d0-e1d1124c03e1;Liwia;Sot;PPUH Szczepaniec;gabriel48@example.org;+48 796 512 749;Słupsk;61
15b45453-638b-49d7-8051-5d42e960cd93;Miłosz;Forysiak;Pudełek-Wielgo i syn s.c.;kaja25@example.org;512 323 028;Mława;69
c385500e-7255-46e7-a53d-dde2b6a823fe;Jeremi;Trzmiel;Dziurdzia-Potaczek Sp.k.;michal92@example.com;724 058 818;Brodnica;64
1d55cd48-1395-4bc4-a90c-9bf0889fe22c;Kajetan;Osik;Gabinety Koronkiewicz s.c.;stanislawsadlik@example.net;+48 792 658 294;Śrem;45
e7b1ebb9-5030-4d8b-8e34-e6d917b06324;Sylwia;Mizak;Grupa Lemke s.c.;tslawik@example.net;+48 732 735 397;Sopot;62
836c719c-04d8-417d-b460-3f7741e1a670;Krystyna;Rogal;Fundacja Kosiec;brunohalik@example.com;+48 737 706 363;Kościerzyna;41
29771261-e96c-4ba8-8876-f06d04625af8;Rafał;Rezmer;Spółdzielnia Fogiel Sp. z o.o.;madrzaksebastian@example.org;513 488 249;Cieszyn;58
7a7805dd-e07a-4e7e-82f5-8b992f1030c5;Witold;Patoka;Błażejewicz Sp.j.;natasza88@example.com;+48 512 836 114;Ostrów Mazowiecka;20
686a0917-31f1-47ba-a511-0c06857bd4b7;Ada;Pietrus;Matyjasek Sp. z o.o. Sp.k.;uzardariusz@example.net;+48 735 760 694;Zgierz;57
981a2bad-0a42-4dd3-b619-51509cf70cc9;Anna Maria;Zontek;Kasiak-Jeżyk Sp.k.;apraczyk@example.org;691 306 454;Pszczyna;31
ac613a23-a827-4e04-b518-f709b2fc57a9;Karina;Siatka;Kapciak-Sorbian Sp. z o.o. Sp.k.;garczarekkaja@example.org;+48 731 403 012;Bielsko-Biała;41
02add951-7c1d-45a9-a49d-7dfe8463c33c;Bianka;Cherek;PPUH Heleniak Sp.j.;soniajanke@example.com;578 774 150;Świętochłowice;70
7f1787b6-c33f-4f0b-b1fd-f18b60094c1c;Nicole;Szuta;Spółdzielnia Szykuła Sp. z o.o. Sp.k.;dindyka@example.org;+48 731 489 934;Pszczyna;53
a0ae31f9-0bc7-4062-983f-bc97178d30a0;Marcin;Panicz;Drej Sp. z o.o.;xsorbian@example.com;+48 731 851 134;Suwałki;40
75b3691a-2999-4fca-a145-3221ea5949a2;Inga;Radzio;PPUH Szłapka;jakubbytner@example.org;+48 579 345 513;Częstochowa;60
c3e68d20-e707-4b99-a019-2b27563dc537;Mariusz;Pacholik;Baszak i syn s.c.;ljakiel@example.com;797 626 069;Nowy Targ;62
4118af49-3a5b-4131-bea3-5074f1016850;Błażej;Strzoda;Boruc i syn s.c.;norbert57@example.net;+48 518 616 446;Kutno;25
30620f3a-6bdd-4345-9aca-86ab61e0f1ee;Ewa;Kidoń;Kiepas-Wawszczyk i syn s.c.;rafalwosiak@example.net;661 488 141;Bielawa;20
e6531e64-93b2-4f0d-b951-59d26fa1eabb;Błażej;Pyc;Karpiel Sp.j.;alanmszyca@example.net;+48 889 169 326;Jarosław;57
bac121ad-4ee8-4ea4-9adb-4f4f88645864;Marika;Kut;Spółdzielnia Mikołajewicz i syn s.c.;tyczkatymon@example.net;+48 576 448 550;Augustów;49
8658a477-229c-4874-b447-64cdecb44c8c;Wojciech;Giża;FPUH Kulma-Kuran Sp.k.;olbrychbartek@example.org;796 384 599;Gorzów Wielkopolski;64
65860c73-53fe-4373-8d40-e5dcf74e61c8;Aurelia;Prażuch;Grupa Kunka Sp. z o.o. Sp.k.;marcelina07@example.com;513 054 799;Luboń;32
fd6eb3ff-08c1-4a11-bc1a-287a5de9786c;Karina;Maksym;Kwasek-Siudek Sp. z o.o.;lipowiczurszula@example.net;32 001 24 89;Brzeg;69
bcfd686d-843c-4121-b01c-5cd703a7636b;Ignacy;Smykała;Stowarzyszenie Dzikiewicz i syn s.c.;xparzyszek@example.net;575 403 766;Żary;67
04316797-ca1d-457b-b6c2-256b98cb020f;Dagmara;Woroch;PPUH Perka Sp. z o.o.;calcyprian@example.org;736 926 181;Marki;24
bf27bc93-8a84-4894-ad84-3947c7ec159b;Ewa;Myszak;Grupa Turoń-Watras Sp.j.;gszwalek@example.com;+48 531 620 770;Toruń;18
0fd7f088-a0d3-4525-8269-180d0649167b;Róża;Pakosz;Łukasiuk-Cich i syn s.c.;liwiaszyma@example.com;+48 785 454 560;Lubartów;57
09470846-dbd1-481d-836f-d407b66cb7fb;Jakub;Kleinschmidt;Żabka i syn s.c.;lukaszkrokosz@example.org;+48 695 671 550;Tarnobrzeg;58
353d1a84-3aa8-4a4f-a50f-5d8f5e00b186;Dariusz;Subocz;Grupa Namysło-Dering Sp.k.;elzbieta33@example.com;729 408 793;Piaseczno;36
84f77192-8179-48d1-8b06-9251d02115fc;Elżbieta;Wąsek;Spółdzielnia Janka Sp.k.;fwocial@example.org;739 863 491;Lubin;47
077492aa-13c3-48ea-b3c1-342354f0ab42;Przemysław;Błażejak;Żabierek-Szczypek i syn s.c.;ewelinawojtach@example.org;22 320 38 22;Legionowo;20
f167ef4a-a3a4-4f68-80cd-72524090fc46;Dagmara;Fierek;PPUH Stempel-Durys Sp. z o.o. Sp.k.;xmaculewicz@example.org;574 542 376;Stalowa Wola;28
9fe5d32f-e494-4ec2-88be-d4b9de3ffbd5;Piotr;Chowaniak;Lindner-Smalec Sp.j.;johnmelania@example.org;515 092 825;Piła;41
32b5cff9-a1d9-4b23-804f-453029921c16;Fryderyk;Smorąg;Kempny Sp.j.;mmichalkiewicz@example.net;+48 880 533 512;Malbork;39
18860d96-41bf-49bf-8ff8-bcf649e592e9;Ada;Maligłówka;Ćwierz s.c.;duniecprzemyslaw@example.net;+48 665 029 310;Szczytno;56
8a9a089c-8594-4e14-b46b-9868d137c9cb;Borys;Nieradzik;Gabinety Chmara i syn s.c.;saludaaleksander@example.net;+48 721 749 523;Lubliniec;43
47c6c0e5-e0e2-49ae-adfd-e26f7b1272a8;Ryszard;Gwara;Wojtaszak-Supeł S.A.;justyna28@example.com;+48 510 669 952;Sosnowiec;58
02e66353-0791-4ff1-9571-66423e5fc5c0;Kornelia;Cieciura;Grupa Paściak;alan21@example.com;+48 514 221 707;Kościerzyna;47
5abe08a0-4695-46b6-9bfb-f8aa3444b50d;Leonard;Siwa;Stowarzyszenie Mrozowicz;anitakamieniarz@example.org;+48 512 921 825;Gdańsk;54
8ab51e7e-86c3-4177-ae63-58c4ca969135;Marika;Surdel;Spółdzielnia Włodyka Sp.j.;vbuczko@example.com;+48 502 221 994;Chrzanów;18
4cd6d42f-d6ca-4431-b1ae-ccd04ed8f893;Piotr;Klaja;Gabinety Kiryluk-Łyp Sp. z o.o. Sp.k.;julitamichalkiewicz@example.net;+48 509 833 923;Chojnice;65
6d1f6069-88de-43c3-a33b-eaf7f6b02e9d;Sandra;Wyroślak;FPUH Sacharczuk;zbobak@example.net;694 968 779;Głogów;61
008fd428-cf71-4d5e-89c7-aca8e80c7b4f;Kornelia;Siewert;Synak-Wowra Sp. z o.o.;alanswiatkiewicz@example.org;695 406 550;Kościan;27
3850acd7-563b-423d-aaf6-2335dfbd4abe;Jakub;Miszkiewicz;Głowienka-Filek S.A.;mikolaj84@example.net;608 496 097;Łowicz;18
56e3cd10-8fb2-4560-9049-1e95aaa7ddcd;Karol;Doroszuk;Oślizło Sp.k.;juliuszdabrowka@example.org;+48 32 418 41 84;Żywiec;59
33649aa8-44c4-4e8b-8e7a-2d866b73853c;Kamil;Ćwirko;Stowarzyszenie Młotek;patrykskwira@example.org;32 904 82 03;Łuków;35
70a80cf1-59fc-4a60-95e8-a7a8ecbb87fa;Dariusz;Gosek;Gabinety Rawa-Mizak Sp.k.;justynakornet@example.net;887 097 527;Szczecinek;49
6829e79a-44e8-438c-8114-c191a282ee92;Wojciech;Raźny;Spółdzielnia Dorobisz-Kaziród i syn s.c.;jeremi96@example.net;22 035 77 32;Września;62
c87ba4ba-70ea-44e7-97fa-7b44f250c3dd;Gustaw;Bryzek;Spółdzielnia Orkisz Sp.j.;janinaseidel@example.org;780 490 442;Nysa;34
8291b5d8-ec7d-4c53-89c3-7c11f8def7e9;Bianka;Milczarczyk;Gabinety Szambelan s.c.;wbogdal@example.com;661 889 504;Katowice;63
5c445407-54a7-4485-853b-e1b0d035f980;Aleksander;Listwan;Pazera-Broniarek S.A.;tatarczykfranciszek@example.com;+48 734 576 518;Starogard Gdański;45
58fca627-4173-4ff6-a060-8899bfdb6c78;Ewa;Ławniczek;PPUH Hapka Sp.k.;korneliaandrearczyk@example.com;+48 22 643 70 02;Lębork;53
40eb6a5a-5acb-4fcc-babf-089c72afc241;Rozalia;Andryszczyk;Moneta S.A.;aleksander65@example.com;509 170 927;Kłodzko;29
c194f02d-4e1f-4440-bd40-eacbf00bdd56;Jerzy;Tondera;Spółdzielnia Hutyra;olchawaaurelia@example.org;+48 600 315 966;Ostrołęka;66
56829365-4506-4b81-9d3c-927c276297d0;Cyprian;Kobryń;Wawrzonek-Pogorzelec S.A.;agierat@example.org;+48 32 504 98 21;Grodzisk Mazowiecki;28
e4dc297e-923b-401f-becf-cc10f4cfc210;Leonard;Drózd;Fundacja Pituła-Małota Sp.k.;twlizlo@example.com;500 182 814;Głogów;52
c1c3c9c5-d244-41ae-8775-a32db8178745;Arkadiusz;Kunc;Fundacja Nieszporek;cezarykujawiak@example.org;797 122 100;Ostrów Wielkopolski;35
9fb5eb0c-f0a6-42da-869a-c5d95958b069;Marek;Zach;Hrabia-Fogiel Sp.j.;julian81@example.org;690 368 121;Biała Podlaska;43
f06fb3e1-793f-4d7f-b8db-febf64c8a9dc;Liwia;Krzosek;Spółdzielnia Ważny;holesiejuk@example.com;+48 881 607 100;Zamość;19
d75e4eb5-36b5-4b4c-8849-1e05e721424b;Justyna;Kott;Stowarzyszenie Stempniak Sp. z o.o. Sp.k.;panasiewiczalbert@example.com;533 912 399;Tychy;36
ae0dbbbc-8639-44f6-8a23-bff0726d38c6;Adrian;Władyka;Pudełek-Ograbek Sp.k.;ewelina53@example.org;+48 535 848 650;Ostrów Mazowiecka;63
f8685d54-199c-4f90-ba77-47b0a7b779a8;Ewelina;Bednarowicz;Delekta Sp. z o.o. Sp.k.;estrojwas@example.com;884 899 947;Marki;32
3899c6f5-278d-4b66-8ef4-053dfb7d2467;Justyna;Miętus;Dyja-Gasek Sp. z o.o.;rozalia92@example.net;789 794 976;Tarnowskie Góry;48
624acd1e-12ba-470c-aef3-35d4cf025400;Kamila;Wyrwich;Spółdzielnia Mamcarz Sp. z o.o.;fryderykmoczko@example.com;+48 22 141 11 71;Wieluń;46
537bcb1f-2a67-4fd8-9bd3-89042a629c98;Maciej;Kopciuch;Sych Sp. z o.o. Sp.k.;pachlaiwo@example.com;+48 797 394 379;Śrem;19
e8dec99d-b4e7-4527-ae4c-3903b6989c1a;Jakub;Polaszek;Czupryna Sp. z o.o.;jedrzejpalega@example.net;507 078 748;Dąbrowa Górnicza;31
f5f1624b-f4c8-409d-bb8d-cfd60c554b04;Witold;Markiel;Engler-Froń S.A.;aniela62@example.com;730 268 194;Świętochłowice;54
351009f7-55c6-4573-a0a7-e3e0c4c7699c;Maciej;Jamrożek;Wielądek Sp.k.;xosojca@example.com;+48 514 568 066;Jarocin;64
1c3ffaec-2314-490b-a390-98aeb79ef0e2;Konstanty;Paściak;Gabinety Dydo;arkadiusz72@example.net;+48 572 269 226;Rybnik;66
